NCHILD,NCHLT5,SEX,AGE,MARST,RACE,RACED,HISPAN,EDUC,EMPSTAT,INCWAGE,VETSTAT
0,0,1,19,6,1,100,0,6,1,21000,1
0,0,1,19,6,1,100,0,6,1,21000,1
0,0,1,19,6,8,801,0,7,1,4000,1
2,0,1,50,1,1,100,0,7,1,150000,1
0,0,2,23,6,1,100,0,10,1,15000,1
1,0,2,28,1,1,100,0,6,1,43000,1
1,0,1,29,1,1,100,0,6,1,75000,1
1,0,2,64,4,2,200,0,11,1,100000,1
0,0,1,41,6,2,200,0,6,1,12000,1
0,0,2,49,6,2,200,0,6,1,33000,1
0,0,1,52,4,2,200,0,7,1,40000,1
0,0,2,63,2,1,100,0,8,1,0,1
0,0,1,42,6,1,100,0,3,1,0,1
2,1,1,40,1,1,100,0,11,1,90000,1
2,1,2,33,1,2,200,0,7,1,20000,1
2,2,1,28,1,1,100,0,10,1,26000,1
0,0,2,26,6,2,200,0,7,1,27400,1
1,0,1,49,1,1,100,0,7,1,72000,2
1,0,2,47,1,1,100,0,10,1,32000,1
0,0,1,22,6,1,100,0,8,1,49000,1
1,1,2,27,6,2,200,0,7,1,28800,1
0,0,2,51,6,2,200,0,6,1,50000,1
0,0,2,48,1,1,100,0,6,1,52000,1
0,0,1,58,1,1,100,0,6,1,70000,1
0,0,1,53,1,1,100,0,6,1,59000,1
1,0,2,35,1,1,100,0,8,1,58000,1
1,0,1,39,1,1,100,0,6,1,52000,1
0,0,2,22,6,2,200,0,6,1,12000,1
0,0,2,20,6,2,200,0,6,1,18000,1
0,0,2,46,1,2,200,0,8,1,0,1
0,0,1,49,1,2,200,0,8,1,43800,2
1,1,2,32,1,1,100,0,11,1,20000,1
1,1,1,35,1,1,100,0,8,1,60000,1
0,0,1,29,6,2,200,0,6,1,3000,1
0,0,1,59,4,1,100,0,6,1,31200,1
1,0,1,33,1,1,100,0,10,1,115000,1
1,0,2,29,1,1,100,0,6,1,22000,1
2,2,2,23,6,1,100,0,6,1,14000,1
1,0,2,51,4,1,100,0,8,1,30000,1
2,2,1,25,1,1,100,0,6,1,45000,1
0,0,2,54,5,1,100,0,11,1,24000,1
1,0,1,62,5,1,100,0,7,1,85000,1
0,0,1,59,1,1,100,0,6,1,30000,1
4,4,1,29,1,1,100,0,10,1,96000,1
2,0,1,61,1,1,100,0,6,1,40000,2
2,0,2,61,1,1,100,0,6,1,20000,1
0,0,2,34,6,1,100,0,6,1,15000,1
0,0,1,32,6,1,100,0,6,1,15000,1
0,0,2,26,1,1,100,0,10,1,15500,1
0,0,1,37,1,1,100,0,7,1,65000,2
0,0,1,52,6,1,100,0,10,1,107000,1
0,0,2,64,5,1,100,0,6,1,19600,1
0,0,2,63,5,1,100,0,7,1,51000,1
1,0,2,37,6,1,100,0,8,1,29000,1
1,1,1,41,1,7,700,2,10,1,115000,1
0,0,2,33,6,1,100,0,11,1,60000,1
0,0,2,28,2,2,200,0,6,1,60000,1
1,1,1,25,6,2,200,0,8,1,12000,1
0,0,2,59,1,1,100,0,5,1,43300,1
0,0,1,50,1,1,100,0,6,1,78000,1
0,0,2,57,4,1,100,0,6,1,53000,1
0,0,1,65,4,1,100,0,8,1,53000,2
0,0,1,56,1,1,100,0,6,1,30000,1
0,0,2,64,3,2,200,0,6,1,14000,1
2,0,2,41,1,1,100,0,11,1,36000,1
2,0,1,45,1,1,100,0,7,1,70000,1
0,0,1,40,6,1,100,0,8,1,6000,1
0,0,1,20,6,2,200,0,6,1,15000,1
0,0,1,63,6,1,100,0,11,1,100000,1
0,0,2,22,6,1,100,0,7,1,40000,2
0,0,2,23,6,1,100,0,7,1,15000,1
0,0,1,57,1,1,100,0,10,1,29000,1
1,0,2,58,4,8,802,0,4,1,22500,1
0,0,2,22,6,8,802,0,8,1,15000,1
1,0,1,61,1,1,100,0,6,1,20000,1
1,0,1,50,1,1,100,0,11,1,160000,1
0,0,2,25,6,1,100,0,8,1,33000,1
2,0,1,49,1,8,802,0,10,1,100000,1
2,0,2,54,1,1,100,0,6,1,55000,1
0,0,1,20,6,1,100,0,7,1,3900,1
0,0,2,34,6,1,100,0,10,1,45000,1
3,2,1,37,1,1,100,0,10,1,120000,1
0,0,1,57,1,1,100,0,10,1,125000,1
0,0,2,60,1,1,100,0,6,1,45000,1
1,0,1,50,1,2,200,0,7,1,94000,1
0,0,1,24,6,2,200,0,7,1,22000,1
3,0,1,54,1,1,100,0,10,1,156000,1
3,0,2,43,1,1,100,0,10,1,386000,1
0,0,2,51,4,1,100,0,6,1,32000,1
0,0,2,58,5,1,100,0,6,1,34300,1
0,0,1,52,6,1,100,0,6,1,20000,1
1,0,1,59,1,1,100,0,6,1,44000,1
1,0,2,59,1,1,100,0,7,1,8200,1
1,0,2,40,6,1,100,0,10,1,24000,1
0,0,2,33,6,2,200,0,6,1,8600,1
0,0,1,33,6,2,200,0,0,1,12000,1
1,1,1,50,1,1,100,0,6,1,28000,1
3,0,1,41,1,2,200,0,6,1,38000,1
3,0,2,34,1,1,100,0,6,1,40000,1
0,0,2,57,4,1,100,0,6,1,27900,1
1,0,1,21,2,1,100,0,6,1,20000,1
0,0,2,42,6,1,100,0,6,1,36000,1
3,1,1,43,1,1,100,0,10,1,70000,1
0,0,1,44,4,2,200,0,6,1,70000,1
0,0,2,49,6,2,200,0,6,1,45000,1
0,0,1,65,1,1,100,0,6,1,40000,2
0,0,2,57,1,1,100,0,7,1,0,1
0,0,1,26,2,6,610,0,11,1,28000,1
0,0,1,41,6,1,100,0,8,1,15000,1
0,0,1,64,1,1,100,0,10,1,60000,1
0,0,2,59,1,2,200,0,8,1,60000,1
0,0,2,23,6,2,200,0,6,1,5000,1
0,0,1,50,2,1,100,0,6,1,160000,1
0,0,2,65,6,1,100,0,0,1,385000,1
0,0,1,22,6,1,100,0,6,1,24000,1
0,0,2,26,6,2,200,0,10,1,26000,1
0,0,2,25,6,1,100,0,6,1,53000,1
2,0,2,57,1,1,100,0,11,1,75000,1
2,0,1,56,1,1,100,0,11,1,54000,1
0,0,2,21,6,1,100,0,7,1,4000,1
0,0,1,19,6,1,100,0,7,1,5000,1
0,0,2,60,1,1,100,0,6,1,1000,1
0,0,1,60,1,1,100,0,6,1,85000,1
1,1,2,36,6,1,100,0,10,1,35000,1
4,0,1,46,4,3,370,0,6,1,52000,1
0,0,1,19,6,3,370,0,6,1,6800,1
0,0,2,58,1,1,100,1,11,1,34300,1
3,0,2,38,1,1,100,0,6,1,60000,1
3,0,1,42,1,1,100,0,6,1,48000,1
2,1,1,46,6,1,100,0,10,1,120000,1
2,1,2,38,6,1,100,0,11,1,50000,1
0,0,2,20,6,8,802,0,6,1,20300,1
1,1,2,36,1,8,802,0,11,1,70000,1
1,1,2,56,1,8,802,0,7,1,25600,1
0,0,1,20,6,1,100,0,6,1,20000,1
0,0,1,20,6,1,100,0,7,1,26000,1
0,0,2,20,6,4,400,0,7,1,1500,1
2,2,2,23,6,7,700,1,6,1,37000,1
2,2,1,30,6,7,700,1,6,1,24000,1
0,0,1,27,6,1,100,0,6,1,37500,1
0,0,2,27,6,1,100,0,7,1,50000,1
0,0,1,29,6,8,826,1,6,1,26000,1
0,0,1,23,6,8,826,1,5,1,62000,1
0,0,2,24,6,8,826,1,10,1,30000,1
2,2,1,39,1,7,700,3,6,1,50000,1
0,0,1,47,6,3,399,0,6,1,410000,1
0,0,2,39,4,7,700,1,6,1,56000,1
0,0,1,21,6,3,361,0,6,1,2600,1
0,0,1,64,1,8,826,1,6,1,28000,1
0,0,2,60,1,8,826,1,6,1,19200,1
2,0,2,42,1,1,100,0,10,1,63000,1
0,0,1,43,6,7,700,1,10,1,90000,1
0,0,1,29,1,3,360,1,6,1,40000,1
0,0,2,29,1,9,985,1,6,1,40000,1
0,0,2,40,6,1,100,0,7,1,120000,1
0,0,1,59,1,8,802,0,6,1,60000,1
1,0,2,60,1,1,100,0,6,1,38000,1
1,0,1,59,1,1,100,0,6,1,53000,1
0,0,2,22,6,1,100,0,8,1,4500,1
0,0,1,59,6,3,315,0,7,1,18000,1
1,0,2,56,1,1,100,0,6,1,45000,1
0,0,1,21,2,8,826,1,8,1,2700,1
0,0,1,37,6,1,100,0,10,1,9000,1
2,1,2,31,6,8,826,1,6,1,40000,1
2,1,1,28,6,7,700,1,6,1,42000,1
2,0,1,41,1,1,100,0,10,1,100000,1
2,0,2,36,1,1,100,0,7,1,18100,1
1,1,1,34,4,1,100,0,6,1,37500,1
0,0,2,36,6,1,100,0,7,1,24000,1
0,0,2,24,6,1,100,0,7,1,12000,1
0,0,1,22,6,1,100,0,10,1,12000,1
1,0,1,64,1,1,100,0,7,1,410000,1
1,1,1,32,1,1,100,0,10,1,135000,1
1,1,2,30,1,1,100,0,10,1,40000,1
0,0,2,61,4,1,100,0,7,1,39700,1
0,0,1,30,6,1,100,0,8,1,50000,1
1,1,1,47,1,1,100,0,6,1,40000,1
1,1,2,39,1,8,826,1,10,1,51000,1
0,0,2,29,6,1,100,0,11,1,35000,1
3,2,1,33,1,7,700,1,6,1,24000,1
3,0,1,36,1,1,100,0,7,1,68000,1
3,0,2,32,1,1,100,0,6,1,5200,1
0,0,1,56,4,1,100,0,8,1,2200,1
2,0,1,50,1,1,100,0,10,1,239000,1
2,0,2,46,1,1,100,0,11,1,32000,1
3,1,2,26,1,1,100,1,6,1,35000,1
3,1,1,28,1,1,100,0,6,1,40000,2
1,1,2,30,1,1,100,1,6,1,25000,1
1,1,1,41,1,1,100,0,6,1,25000,1
1,1,2,30,1,8,826,1,8,1,60000,1
1,1,1,31,1,8,801,0,7,1,57000,1
2,0,2,40,4,8,830,0,8,1,25000,1
1,0,2,50,1,7,700,1,11,1,0,1
0,0,2,24,1,8,826,1,6,1,15700,1
0,0,1,41,2,8,826,1,10,1,67000,1
0,0,1,23,1,8,826,1,6,1,10000,1
0,0,2,25,6,1,100,0,10,1,100000,1
0,0,1,59,1,1,100,0,11,1,90000,2
0,0,2,30,6,1,100,0,11,1,59000,1
0,0,2,29,6,1,100,0,10,1,45400,1
0,0,2,31,4,1,100,0,11,1,60000,1
3,1,1,46,1,7,700,1,2,1,50000,1
3,1,2,40,1,7,700,1,3,1,36000,1
0,0,1,58,1,1,100,0,11,1,410000,1
2,1,1,42,1,7,700,1,6,1,60000,1
0,0,1,56,1,1,100,0,6,1,39000,2
1,1,1,29,6,7,700,1,10,1,98000,1
0,0,1,53,1,1,100,1,7,1,45000,1
0,0,2,34,1,1,100,0,10,1,45000,1
2,0,2,60,1,3,315,0,7,1,34000,1
2,0,1,60,1,8,826,1,6,1,30000,1
1,1,1,25,4,8,826,1,6,1,30000,2
1,1,1,39,3,8,826,1,7,1,27000,1
3,0,1,56,1,7,700,1,6,1,48000,1
0,0,1,29,6,7,700,1,6,1,20000,1
0,0,2,61,5,1,100,0,11,1,0,1
3,1,1,36,1,1,100,0,11,1,50000,1
3,1,2,35,1,1,100,0,10,1,80000,1
2,0,1,54,4,1,100,0,11,1,70000,1
0,0,2,25,6,1,100,0,10,1,45000,1
0,0,1,26,6,1,100,0,6,1,35000,1
0,0,1,38,4,8,845,3,7,1,55000,1
0,0,1,47,6,1,100,1,6,1,20000,1
1,1,2,35,1,1,100,0,11,1,57000,1
1,1,1,37,1,8,826,4,10,1,54000,1
1,0,1,61,1,1,100,0,11,1,29000,1
1,0,2,59,1,1,100,0,11,1,38000,1
0,0,2,30,6,1,100,0,7,1,26200,1
1,0,2,53,4,1,100,0,6,1,26400,1
0,0,1,62,1,1,100,0,8,1,71000,2
0,0,2,59,1,1,100,0,6,1,38700,1
1,0,2,54,1,1,100,0,7,1,25000,1
1,0,1,54,1,1,100,0,10,1,125000,1
0,0,2,28,6,1,100,0,10,1,36000,1
3,0,1,42,1,7,700,1,6,1,42000,1
3,0,2,44,1,7,700,1,6,1,105000,1
0,0,2,23,6,7,700,1,7,1,14000,1
0,0,2,61,1,1,100,0,6,1,200,1
0,0,2,54,4,2,200,0,8,1,7000,1
1,0,1,56,1,1,100,0,6,1,50000,1
1,0,2,57,1,1,100,0,8,1,50000,1
2,2,1,22,6,8,826,1,6,1,3500,1
0,0,2,20,6,8,821,0,6,1,15000,1
1,0,1,54,4,1,100,0,11,1,90000,1
0,0,2,62,4,5,500,1,6,1,12400,1
4,1,1,60,1,1,100,0,7,1,27000,2
0,0,2,61,1,2,200,0,11,1,32000,1
2,1,1,39,6,8,826,1,2,1,20000,1
3,1,1,35,1,1,100,0,11,1,410000,1
3,1,2,34,1,1,100,0,10,1,3000,1
0,0,1,58,1,3,315,0,6,1,21000,1
0,0,2,33,2,1,100,2,10,1,18000,1
0,0,1,45,6,3,315,0,7,1,60000,1
4,0,2,42,1,1,100,0,10,1,55000,1
4,0,1,42,1,1,100,0,8,1,55000,1
0,0,2,52,1,1,100,0,11,1,0,1
0,0,1,55,1,1,100,0,6,1,80000,1
3,0,1,57,4,1,100,0,7,1,60000,1
0,0,2,20,6,1,100,0,6,1,34000,1
0,0,1,19,6,1,100,0,6,1,20000,1
0,0,2,60,4,1,100,1,6,1,64000,1
2,1,1,29,6,8,826,1,7,1,28000,1
0,0,1,50,6,1,100,0,11,1,130000,1
0,0,1,25,6,1,100,0,10,1,47900,1
0,0,2,32,6,6,600,0,11,1,67000,1
0,0,1,55,6,1,100,0,11,1,220000,1
0,0,1,33,4,8,832,0,11,1,0,1
0,0,2,39,6,1,100,0,11,1,65000,1
0,0,1,34,6,3,399,1,11,1,80000,1
0,0,1,26,6,1,100,4,11,1,100000,1
1,1,1,26,6,1,100,0,7,1,40000,1
1,1,2,25,6,1,100,0,10,1,80000,1
2,0,1,46,1,8,826,1,6,1,43000,1
0,0,1,23,6,8,826,1,6,1,36000,1
0,0,1,49,1,1,100,0,10,1,100000,1
0,0,2,57,1,1,100,0,6,1,50000,1
0,0,2,33,6,1,100,0,8,1,55000,1
0,0,2,55,6,1,100,0,10,1,49000,1
3,1,1,33,1,3,302,0,6,1,26000,1
3,1,2,32,1,3,302,0,6,1,28800,1
4,0,1,48,1,8,802,0,10,1,160000,1
4,0,2,46,1,1,100,0,10,1,16000,1
0,0,1,18,6,1,100,0,7,1,8000,1
2,1,1,47,1,1,100,0,10,1,140000,2
2,1,2,41,1,1,100,0,11,1,398000,1
0,0,1,43,2,1,100,0,6,1,12500,1
0,0,2,64,6,1,100,0,6,1,21000,1
3,1,1,35,1,8,826,1,6,1,35000,1
0,0,2,28,6,1,100,0,6,1,0,1
0,0,1,33,4,1,100,0,6,1,17000,2
4,0,1,45,1,1,100,0,6,1,33000,1
4,0,2,47,1,1,100,0,10,1,38000,1
0,0,1,25,6,1,100,1,6,1,42000,1
0,0,2,18,6,1,100,0,6,1,1800,1
0,0,1,24,1,1,100,0,6,1,10000,1
0,0,2,24,1,1,100,0,6,1,45000,1
