"NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
0,0,1,19,6,1,100,0,0,6,63,1,14,21000,1,12
0,0,1,19,6,1,100,0,0,6,63,1,14,21000,1,12
0,0,1,19,6,8,801,0,0,7,71,1,10,4000,1,11
2,0,1,50,1,1,100,0,0,7,71,1,10,150000,1,11
0,0,2,23,6,1,100,0,0,10,101,1,10,15000,1,11
1,0,2,28,1,1,100,0,0,6,63,1,10,43000,1,11
1,0,1,29,1,1,100,0,0,6,63,1,10,75000,1,11
1,0,2,64,4,2,200,0,0,11,114,1,10,100000,1,11
0,0,1,41,6,2,200,0,0,6,63,1,10,12000,1,11
0,0,2,49,6,2,200,0,0,6,63,1,10,33000,1,11
0,0,1,52,4,2,200,0,0,7,71,1,10,40000,1,11
0,0,2,63,2,1,100,0,0,8,81,1,10,0,1,11
0,0,1,42,6,1,100,0,0,3,30,1,10,0,1,11
2,1,1,40,1,1,100,0,0,11,114,1,10,90000,1,11
2,1,2,33,1,2,200,0,0,7,71,1,10,20000,1,11
2,2,1,28,1,1,100,0,0,10,101,1,10,26000,1,11
0,0,2,26,6,2,200,0,0,7,71,1,10,27400,1,11
1,0,1,49,1,1,100,0,0,7,71,1,10,72000,2,20
1,0,2,47,1,1,100,0,0,10,101,1,10,32000,1,11
0,0,1,22,6,1,100,0,0,8,81,1,10,49000,1,11
1,1,2,27,6,2,200,0,0,7,71,1,10,28800,1,11
0,0,2,51,6,2,200,0,0,6,64,1,10,50000,1,11
0,0,2,48,1,1,100,0,0,6,65,1,10,52000,1,11
0,0,1,58,1,1,100,0,0,6,65,1,10,70000,1,11
0,0,1,53,1,1,100,0,0,6,63,1,10,59000,1,13
1,0,2,35,1,1,100,0,0,8,81,1,10,58000,1,11
1,0,1,39,1,1,100,0,0,6,64,1,10,52000,1,11
0,0,2,22,6,2,200,0,0,6,63,1,10,12000,1,13
0,0,2,20,6,2,200,0,0,6,63,1,10,18000,1,11
0,0,2,46,1,2,200,0,0,8,81,1,10,0,1,11
0,0,1,49,1,2,200,0,0,8,81,1,10,43800,2,20
1,1,2,32,1,1,100,0,0,11,114,1,10,20000,1,11
1,1,1,35,1,1,100,0,0,8,81,1,10,60000,1,11
0,0,1,29,6,2,200,0,0,6,61,1,10,3000,1,11
0,0,1,59,4,1,100,0,0,6,63,1,10,31200,1,11
1,0,1,33,1,1,100,0,0,10,101,1,10,115000,1,11
1,0,2,29,1,1,100,0,0,6,63,1,10,22000,1,11
2,2,2,23,6,1,100,0,0,6,63,1,10,14000,1,11
1,0,2,51,4,1,100,0,0,8,81,1,10,30000,1,11
2,2,1,25,1,1,100,0,0,6,63,1,10,45000,1,11
0,0,2,54,5,1,100,0,0,11,114,1,10,24000,1,11
1,0,1,62,5,1,100,0,0,7,71,1,10,85000,1,11
0,0,1,59,1,1,100,0,0,6,63,1,10,30000,1,11
4,4,1,29,1,1,100,0,0,10,101,1,10,96000,1,11
2,0,1,61,1,1,100,0,0,6,63,1,10,40000,2,20
2,0,2,61,1,1,100,0,0,6,63,1,10,20000,1,11
0,0,2,34,6,1,100,0,0,6,63,1,10,15000,1,11
0,0,1,32,6,1,100,0,0,6,63,1,10,15000,1,11
0,0,2,26,1,1,100,0,0,10,101,1,10,15500,1,11
0,0,1,37,1,1,100,0,0,7,71,1,10,65000,2,20
0,0,1,52,6,1,100,0,0,10,101,1,10,107000,1,11
0,0,2,64,5,1,100,0,0,6,61,1,10,19600,1,11
